# s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m
13.21064161,-48.26589433,18.96703093,-1.12389799,0.48052700,1.58237400,1.58237400
13.31072222,-48.22008794,18.87788845,-1.08710781,0.17452389,1.58237400,1.58237400
13.41080284,-48.17263792,18.78950388,-1.08896507,-0.21793064,1.58237400,1.58237400
13.51088346,-48.12722612,18.70031224,-1.13072908,-0.55966011,1.58237400,1.58237400
13.61096408,-48.08752821,18.60875115,-1.20098733,-0.64028227,1.58237400,1.58237400
13.71104470,-48.05506677,18.51416347,-1.25888877,-0.35228687,1.58237400,1.58237400
13.81112532,-48.02606292,18.41812098,-1.27150150,0.12029234,1.58237400,1.58237400
13.91120593,-47.99593637,18.32253241,-1.23481091,0.54378048,1.58237400,1.58237400
14.01128655,-47.96012176,18.22930026,-1.16265773,0.67407707,1.58237400,1.58237400
14.11136717,-47.91667569,18.13923679,-1.09988681,0.40945373,1.58237400,1.58237400
14.21144779,-47.86925782,18.05082443,-1.08070097,-0.04394223,1.58237400,1.58237400
14.31152841,-47.82224905,17.96224569,-1.10868234,-0.47551097,1.58237400,1.58237400
14.41160902,-47.78003029,17.87168308,-1.17587983,-0.67024827,1.58237400,1.58237400
14.51168964,-47.74543631,17.77796019,-1.24284006,-0.47665168,1.58237400,1.58237400
14.61177026,-47.71558430,17.68227138,-1.27128702,-0.05801535,1.58237400,1.58237400
14.71185088,-47.68627007,17.58635887,-1.25445248,0.35932492,1.58237400,1.58237400
14.81193150,-47.65328995,17.49196469,-1.19936410,0.58961830,1.58237400,1.58237400
14.91201212,-47.61378732,17.40027269,-1.13643376,0.52741230,1.58237400,1.58237400
15.01209273,-47.56919432,17.31068966,-1.09379660,0.30241501,1.58237400,1.58237400
15.11217335,-47.52179468,17.22226951,-1.07590199,0.06523290,1.58237400,1.58237400
15.21225397,-47.47387214,17.13406617,-1.08073950,-0.10217492,1.58237400,1.58237400
15.31233459,-47.42737389,17.04527294,-1.09635345,-0.14135168,1.58237400,1.58237400
15.41241521,-47.38235473,16.95586691,-1.10903263,-0.09406630,1.58237400,1.58237400
15.51249583,-47.33820845,16.86609897,-1.11518188,-0.02986250,1.58237400,1.58237400
15.61257644,-47.29432815,16.77622028,-1.11500995,0.02023181,1.58237400,1.58237400
15.71265706,-47.25014949,16.68646445,-1.11113226,0.03825610,1.58237400,1.58237400
15.81273768,-47.20555052,16.59688256,-1.10735256,0.03012197,1.58237400,1.58237400
15.91281830,-47.16067163,16.50741749,-1.10510300,0.01481261,1.58237400,1.58237400
16.01289892,-47.11565669,16.41801065,-1.10438765,0.00099117,1.58237400,1.58237400
16.11297953,-47.07064708,16.32860440,-1.10490461,-0.00847392,1.58237400,1.58237400
16.21306015,-47.02572974,16.23916127,-1.10608380,-0.01362430,1.58237400,1.58237400
16.31314077,-46.98093835,16.14966357,-1.10763167,-0.01720428,1.58237400,1.58237400
16.41322139,-46.93630437,16.06009439,-1.10952743,-0.01762928,1.58237400,1.58237400
16.51330201,-46.89185765,15.97043763,-1.11116037,-0.00716237,1.58237400,1.58237400
16.61338263,-46.84751923,15.88072882,-1.11096106,0.01641531,1.58237400,1.58237400
16.71346324,-46.80303519,15.79108659,-1.10787466,0.04569318,1.58237400,1.58237400
16.81354386,-46.75813580,15.70163705,-1.10181505,0.07607672,1.58237400,1.58237400
16.91362448,-46.71255128,15.61250637,-1.09264705,0.10970957,1.58237400,1.58237400
17.01370510,-46.66599466,15.52384791,-1.07985545,0.14817344,1.58237400,1.58237400
17.11378572,-46.61813211,15.43588899,-1.06298847,0.18928596,1.58237400,1.58237400
17.21386634,-46.56862189,15.34886940,-1.04196774,0.23081827,1.58237400,1.58237400
17.31394695,-46.51712227,15.26302893,-1.01678760,0.26011451,1.58237400,1.58237400
17.41402757,-46.46329182,15.17860719,-0.98990290,0.22816402,1.58237400,1.58237400
17.51410819,-46.40720549,15.09558674,-0.97111801,0.10378716,1.58237400,1.58237400
17.61418881,-46.35019237,15.01317602,-0.96912873,-0.07099488,1.58237400,1.58237400
17.71426943,-46.29381663,14.93043833,-0.98532843,-0.25058278,1.58237400,1.58237400
17.81435004,-46.23964245,14.84643697,-1.01928569,-0.38474666,1.58237400,1.58237400
17.91443066,-46.18914328,14.76028912,-1.06233980,-0.40227685,1.58237400,1.58237400
18.01451128,-46.14239152,14.67194391,-1.09980592,-0.31350485,1.58237400,1.58237400
18.11459190,-46.09835845,14.58200435,-1.12509132,-0.19139869,1.58237400,1.58237400
18.21467252,-46.05598567,14.49109105,-1.13811652,-0.06980862,1.58237400,1.58237400
18.31475314,-46.01421525,14.39982435,-1.13906430,0.04965573,1.58237400,1.58237400
18.41483375,-45.97200724,14.30881416,-1.12817737,0.16752235,1.58237400,1.58237400
18.51491437,-45.92834484,14.21865699,-1.10553282,0.28529293,1.58237400,1.58237400
18.61499499,-45.88221279,14.12994842,-1.07107278,0.38246202,1.58237400,1.58237400
18.71507561,-45.83259982,14.04328170,-1.02897874,0.39248764,1.58237400,1.58237400
18.81515623,-45.77921210,13.95882337,-0.99251197,0.28551185,1.58237400,1.58237400
18.91523685,-45.72329671,13.87582358,-0.97183034,0.12243375,1.58237400,1.58237400
19.01531746,-45.66630024,13.79341380,-0.96800548,-0.04327118,1.58237400,1.58237400
19.11539808,-45.60966933,13.71072551,-0.98049155,-0.17898062,1.58237400,1.58237400
19.21547870,-45.55476572,13.62694365,-1.00383046,-0.24831578,1.58237400,1.58237400
19.31555932,-45.50210598,13.54178568,-1.03019474,-0.26405270,1.58237400,1.58237400
19.41563994,-45.45172176,13.45527459,-1.05668358,-0.26508456,1.58237400,1.58237400
19.51572055,-45.40363895,13.36743700,-1.08325440,-0.26288965,1.58237400,1.58237400
19.61580117,-45.35788343,13.27829955,-1.10930389,-0.22131982,1.58237400,1.58237400
19.71588179,-45.31437640,13.18794585,-1.12755405,-0.08915331,1.58237400,1.58237400
19.81596241,-45.27186014,13.09710156,-1.12714893,0.11887450,1.58237400,1.58237400
19.91604303,-45.22833397,13.00689691,-1.10375998,0.34700255,1.58237400,1.58237400
20.01612365,-45.18178562,12.91846845,-1.05769247,0.50437025,1.58237400,1.58237400
20.11620426,-45.13029649,12.83289908,-1.00280461,0.45654080,1.58237400,1.58237400
20.21628488,-45.07424944,12.74995312,-0.96631070,0.20198637,1.58237400,1.58237400
20.31636550,-45.01641312,12.66802806,-0.96237476,-0.12619460,1.58237400,1.58237400
20.41644612,-44.95966676,12.58545801,-0.99156997,-0.43043870,1.58237400,1.58237400
20.51652674,-44.90688959,12.50057708,-1.04853191,-0.56135740,1.58237400,1.58237400
20.61660736,-44.85999170,12.41228250,-1.10393196,-0.39655130,1.58237400,1.58237400
20.71668797,-44.81680245,12.32184249,-1.12790611,-0.05273584,1.58237400,1.58237400
20.81676859,-44.77407727,12.23114924,-1.11448763,0.30768051,1.58237400,1.58237400
20.91684921,-44.72857162,12.14209495,-1.06632039,0.53445556,1.58237400,1.58237400
21.01692983,-44.67752937,12.05628433,-1.00751034,0.48391888,1.58237400,1.58237400
21.11701045,-44.62187892,11.97315352,-0.96945859,0.22824403,1.58237400,1.58237400
21.21709106,-44.56422976,11.89114923,-0.96182474,-0.07490489,1.58237400,1.58237400
21.31717168,-44.50719996,11.80871310,-0.98445165,-0.34216933,1.58237400,1.58237400
21.41725230,-44.45339334,11.72429588,-1.03031377,-0.47772727,1.58237400,1.58237400
21.51733292,-44.40422234,11.63710827,-1.08007413,-0.44909768,1.58237400,1.58237400
21.61741354,-44.35902638,11.54768329,-1.12020572,-0.34737522,1.58237400,1.58237400
21.71749416,-44.31693720,11.45668643,-1.14960518,-0.24724068,1.58237400,1.58237400
21.81757477,-44.27708670,11.36478305,-1.16969372,-0.17969979,1.58237400,1.58237400
21.91765539,-44.23880560,11.27245445,-1.18557412,-0.15975429,1.58237400,1.58237400
22.01773601,-44.20201347,11.17963682,-1.20167034,-0.16500104,1.58237400,1.58237400
22.11781663,-44.16673838,11.08616589,-1.21860093,-0.17290754,1.58237400,1.58237400
22.21789725,-44.13300843,10.99187741,-1.23627972,-0.18109679,1.58237400,1.58237400
22.31797787,-44.10085169,10.89660712,-1.25484948,-0.20066222,1.58237400,1.58237400
22.41805848,-44.07035504,10.80021656,-1.27644452,-0.24594999,1.58237400,1.58237400
22.51813910,-44.04209164,10.70278082,-1.30407914,-0.31238126,1.58237400,1.58237400
22.61821972,-44.01687462,10.60448038,-1.33897114,-0.38653555,1.58237400,1.58237400
22.71830034,-43.99551883,10.50549644,-1.38144857,-0.46407249,1.58237400,1.58237400
22.81838096,-43.97883910,10.40601023,-1.43186046,-0.54487218,1.58237400,1.58237400
22.91846157,-43.96765027,10.30620295,-1.49051086,-0.62798804,1.58237400,1.58237400
23.01854219,-43.96276717,10.20625582,-1.55755933,-0.71059228,1.58237400,1.58237400
23.11862281,-43.96500466,10.10635006,-1.63274389,-0.77566713,1.58237400,1.58237400
23.21870343,-43.97514597,10.00668442,-1.71281782,-0.79999749,1.58237400,1.58237400
23.31878405,-43.99339731,9.90777800,-1.79287238,-0.79228771,1.58237400,1.58237400
23.41886467,-44.01946026,9.81043008,-1.87140311,-0.78193488,1.58237400,1.58237400
23.51894528,-44.05301943,9.71544934,-1.94938543,-0.77559789,1.58237400,1.58237400
23.61902590,-44.09375940,9.62364447,-2.02664774,-0.74076741,1.58237400,1.58237400
23.71910652,-44.14121101,9.53557386,-2.09765835,-0.64623493,1.58237400,1.58237400
23.81918714,-44.19429913,9.45080953,-2.15599892,-0.51241963,1.58237400,1.58237400
23.91926776,-44.25179945,9.36868059,-2.20022490,-0.37302144,1.58237400,1.58237400
24.01934837,-44.31248763,9.28851617,-2.23066335,-0.26160095,1.58237400,1.58237400
24.11942899,-44.37517343,9.20967135,-2.25258727,-0.22562555,1.58237400,1.58237400
24.21950961,-44.43944421,9.13209399,-2.27582484,-0.26449656,1.58237400,1.58237400
24.31959023,-44.50566155,9.05632208,-2.30552922,-0.33075038,1.58237400,1.58237400
24.41967085,-44.57422037,8.98291906,-2.34202825,-0.39910100,1.58237400,1.58237400
24.51975147,-44.64551563,8.91244837,-2.38541377,-0.46797400,1.58237400,1.58237400
24.61983208,-44.71994228,8.84547345,-2.43569850,-0.53621258,1.58237400,1.58237400
24.71991270,-44.79789527,8.78255775,-2.49274275,-0.60095543,1.58237400,1.58237400
24.81999332,-44.87975799,8.72427062,-2.55598648,-0.66118357,1.58237400,1.58237400
